[2026-05-17 17:53:18] PRICE=0.00055390 | MC=553990 | LIQ=60263 | B1h=3776 S1h=1018 | B6h=9442 S6h=1771
[2026-05-17 17:53:24] PRICE=0.00055600 | MC=556080 | LIQ=60403 | B1h=3717 S1h=1011 | B6h=9476 S6h=1774
[2026-05-17 17:53:29] PRICE=0.00055600 | MC=556080 | LIQ=60403 | B1h=3717 S1h=1011 | B6h=9476 S6h=1774
[2026-05-17 17:53:34] PRICE=0.00055600 | MC=556080 | LIQ=60403 | B1h=3717 S1h=1011 | B6h=9476 S6h=1774
[2026-05-17 17:53:39] PRICE=0.00055600 | MC=556080 | LIQ=60403 | B1h=3717 S1h=1011 | B6h=9476 S6h=1774
[2026-05-17 17:53:44] PRICE=0.00055600 | MC=556080 | LIQ=60403 | B1h=3717 S1h=1011 | B6h=9476 S6h=1774
[2026-05-17 17:53:49] PRICE=0.00055600 | MC=556080 | LIQ=60403 | B1h=3717 S1h=1011 | B6h=9476 S6h=1774
[2026-05-17 17:53:55] PRICE=0.00055360 | MC=553618 | LIQ=60287 | B1h=3736 S1h=1013 | B6h=9495 S6h=1776
[2026-05-17 17:54:00] PRICE=0.00055360 | MC=553618 | LIQ=60287 | B1h=3736 S1h=1013 | B6h=9495 S6h=1776
[2026-05-17 17:54:05] PRICE=0.00055360 | MC=553618 | LIQ=60287 | B1h=3736 S1h=1013 | B6h=9495 S6h=1776
[2026-05-17 17:54:10] PRICE=0.00055360 | MC=553618 | LIQ=60287 | B1h=3736 S1h=1013 | B6h=9495 S6h=1776
[2026-05-17 17:54:15] PRICE=0.00055360 | MC=553618 | LIQ=60287 | B1h=3736 S1h=1013 | B6h=9495 S6h=1776
[2026-05-17 17:54:20] PRICE=0.00055360 | MC=553618 | LIQ=60287 | B1h=3736 S1h=1013 | B6h=9495 S6h=1776
[2026-05-17 17:54:26] PRICE=0.00054550 | MC=545514 | LIQ=59832 | B1h=3682 S1h=1007 | B6h=9520 S6h=1781
[2026-05-17 17:54:31] PRICE=0.00054550 | MC=545514 | LIQ=59832 | B1h=3682 S1h=1007 | B6h=9520 S6h=1781
[2026-05-17 17:54:36] PRICE=0.00054550 | MC=545514 | LIQ=59832 | B1h=3682 S1h=1007 | B6h=9520 S6h=1781
[2026-05-17 17:54:41] PRICE=0.00054550 | MC=545514 | LIQ=59832 | B1h=3682 S1h=1007 | B6h=9520 S6h=1781
[2026-05-17 17:54:46] PRICE=0.00054550 | MC=545514 | LIQ=59832 | B1h=3682 S1h=1007 | B6h=9520 S6h=1781
[2026-05-17 17:54:51] PRICE=0.00054550 | MC=545514 | LIQ=59832 | B1h=3682 S1h=1007 | B6h=9520 S6h=1781
[2026-05-17 17:54:57] PRICE=0.00050890 | MC=508945 | LIQ=57798 | B1h=3720 S1h=1023 | B6h=9558 S6h=1797
