[2026-05-19 19:31:45] PRICE=0.00021000 | MC=210008 | LIQ=38509 | B1h=2422 S1h=1760 | B6h=10361 S6h=8160
[2026-05-19 19:31:50] PRICE=0.00021000 | MC=210008 | LIQ=38509 | B1h=2422 S1h=1760 | B6h=10361 S6h=8160
[2026-05-19 19:31:56] PRICE=0.00020510 | MC=205125 | LIQ=38072 | B1h=2436 S1h=1777 | B6h=10375 S6h=8177
[2026-05-19 19:32:01] PRICE=0.00020510 | MC=205125 | LIQ=38072 | B1h=2436 S1h=1777 | B6h=10375 S6h=8177
[2026-05-19 19:32:06] PRICE=0.00020510 | MC=205125 | LIQ=38072 | B1h=2436 S1h=1777 | B6h=10375 S6h=8177
[2026-05-19 19:32:11] PRICE=0.00020510 | MC=205125 | LIQ=38072 | B1h=2436 S1h=1777 | B6h=10375 S6h=8177
[2026-05-19 19:32:16] PRICE=0.00020510 | MC=205125 | LIQ=38072 | B1h=2436 S1h=1777 | B6h=10375 S6h=8177
[2026-05-19 19:32:22] PRICE=0.00020510 | MC=205125 | LIQ=38072 | B1h=2436 S1h=1777 | B6h=10375 S6h=8177
[2026-05-19 19:32:27] PRICE=0.00021320 | MC=213292 | LIQ=38803 | B1h=2405 S1h=1776 | B6h=10389 S6h=8194
[2026-05-19 19:32:32] PRICE=0.00021320 | MC=213292 | LIQ=38803 | B1h=2405 S1h=1776 | B6h=10389 S6h=8194
[2026-05-19 19:32:37] PRICE=0.00021320 | MC=213292 | LIQ=38803 | B1h=2405 S1h=1776 | B6h=10389 S6h=8194
[2026-05-19 19:32:42] PRICE=0.00021320 | MC=213292 | LIQ=38803 | B1h=2405 S1h=1776 | B6h=10389 S6h=8194
[2026-05-19 19:32:48] PRICE=0.00021320 | MC=213292 | LIQ=38803 | B1h=2405 S1h=1776 | B6h=10389 S6h=8194
[2026-05-19 19:32:53] PRICE=0.00021320 | MC=213292 | LIQ=38803 | B1h=2405 S1h=1776 | B6h=10389 S6h=8194
[2026-05-19 19:32:58] PRICE=0.00020110 | MC=201152 | LIQ=37683 | B1h=2416 S1h=1784 | B6h=10400 S6h=8202
[2026-05-19 19:33:03] PRICE=0.00020110 | MC=201152 | LIQ=37683 | B1h=2416 S1h=1784 | B6h=10400 S6h=8202
[2026-05-19 19:33:08] PRICE=0.00020110 | MC=201152 | LIQ=37683 | B1h=2416 S1h=1784 | B6h=10400 S6h=8202
[2026-05-19 19:33:14] PRICE=0.00020110 | MC=201152 | LIQ=37683 | B1h=2416 S1h=1784 | B6h=10400 S6h=8202
[2026-05-19 19:33:19] PRICE=0.00020110 | MC=201152 | LIQ=37683 | B1h=2416 S1h=1784 | B6h=10400 S6h=8202
[2026-05-19 19:33:24] PRICE=0.00020110 | MC=201152 | LIQ=37683 | B1h=2416 S1h=1784 | B6h=10400 S6h=8202
[2026-05-19 19:33:29] PRICE=0.00020540 | MC=205461 | LIQ=38074 | B1h=2359 S1h=1761 | B6h=10403 S6h=8212
[2026-05-19 19:33:34] PRICE=0.00020540 | MC=205461 | LIQ=38074 | B1h=2359 S1h=1761 | B6h=10403 S6h=8212
[2026-05-19 19:33:39] PRICE=0.00020540 | MC=205461 | LIQ=38074 | B1h=2359 S1h=1761 | B6h=10403 S6h=8212
[2026-05-19 19:33:45] PRICE=0.00020540 | MC=205461 | LIQ=38074 | B1h=2359 S1h=1761 | B6h=10403 S6h=8212
[2026-05-19 19:33:50] PRICE=0.00020540 | MC=205461 | LIQ=38074 | B1h=2359 S1h=1761 | B6h=10403 S6h=8212
[2026-05-19 19:33:55] PRICE=0.00020540 | MC=205461 | LIQ=38074 | B1h=2359 S1h=1761 | B6h=10403 S6h=8212
[2026-05-19 19:34:00] PRICE=0.00021970 | MC=219750 | LIQ=39358 | B1h=2365 S1h=1768 | B6h=10409 S6h=8219
[2026-05-19 19:34:06] PRICE=0.00021970 | MC=219750 | LIQ=39358 | B1h=2365 S1h=1768 | B6h=10409 S6h=8219
[2026-05-19 19:34:11] PRICE=0.00021970 | MC=219750 | LIQ=39358 | B1h=2365 S1h=1768 | B6h=10409 S6h=8219
[2026-05-19 19:34:16] PRICE=0.00021970 | MC=219750 | LIQ=39358 | B1h=2365 S1h=1768 | B6h=10409 S6h=8219
[2026-05-19 19:34:21] PRICE=0.00021970 | MC=219750 | LIQ=39358 | B1h=2365 S1h=1768 | B6h=10409 S6h=8219
