[2026-05-19 22:27:25] PRICE=0.00233400 | MC=2334177 | LIQ=110521 | B1h=15 S1h=5 | B6h=16 S6h=5
[2026-05-19 22:27:30] PRICE=0.00233400 | MC=2334177 | LIQ=110521 | B1h=15 S1h=5 | B6h=16 S6h=5
[2026-05-19 22:27:35] PRICE=0.00233400 | MC=2334177 | LIQ=110521 | B1h=15 S1h=5 | B6h=16 S6h=5
[2026-05-19 22:27:40] PRICE=0.00233400 | MC=2334177 | LIQ=110521 | B1h=15 S1h=5 | B6h=16 S6h=5
[2026-05-19 22:27:45] PRICE=0.00233400 | MC=2334177 | LIQ=110521 | B1h=15 S1h=5 | B6h=16 S6h=5
[2026-05-19 22:27:51] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:27:56] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:28:01] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:28:06] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:28:11] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:28:16] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:28:22] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:28:27] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:28:32] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:28:37] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:28:43] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:28:48] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:28:53] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:28:59] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:29:04] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:29:09] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:29:15] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:29:20] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:29:25] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:29:30] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:29:36] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
